transaction_id,customer_id,amount,currency,status,payment_method,transaction_date,merchant_country,risk_score
T700045,C1003,308.6,EUR,completed,transfer,2025-05-09,FR,
T700046,C1008,26.37,EUR,completed,paypal,2025-06-01,FR,0.866
T700047,C1135,719.64,EUR,refunded,paypal,2025-02-22,DE,0.747
T700048,C1084,325.57,EUR,completed,transfer,2025-06-13,FR,0.123
T700020,C1095,712.96,EUR,completed,card,2025-01-22,FR,0.723
T700050,C1104,769.89,EUR,refunded,apple_pay,2025-08-05,FR,0.142
T700051,C1077,514.22,EUR,completed,paypal,2025-04-27,FR,0.399
T700052,C1103,80.76,EUR,completed,apple_pay,2025-09-03,FR,0.651
T700053,C1001,32.06,EUR,completed,apple_pay,2025-03-15,FR,0.595
T700054,C1132,605.61,EUR,refunded,card,2025-08-13,FR,0.86
T700055,C1046,768.88,EUR,completed,transfer,2025-01-03,FR,0.507
T700056,C1090,484.55,EUR,completed,transfer,2025-08-24,FR,0.481
T700057,C1040,828.34,EUR,failed,card,2025-01-31,DE,0.298
T700058,C1077,0,EUR,completed,transfer,2025-09-04,FR,0.123
T700059,C1088,453.19,EUR,completed,paypal,2025-04-24,FR,0.403
T700060,C1022,129.15,EUR,completed,apple_pay,2025-07-04,FR,0.508
T700061,C1102,225.61,EUR,completed,paypal,2025-02-27,FR,0.754
T700062,C1025,163.47,EUR,completed,apple_pay,2025-04-27,FR,
T700063,C1029,626.57,EUR,refunded,card,2025-07-28,FR,0.72
T700064,C1035,734.64,EUR,completed,card,2025-02-22,FR,0.617
T700065,C1140,149.71,EUR,failed,apple_pay,2025-02-17,FR,0.699
T700066,C1015,346.68,EUR,completed,card,2025-01-08,FR,0.86
T700067,C1118,258.44,EUR,COMPLETED,apple_pay,2025-02-14,FR,0.785
T700068,C1030,780.29,EUR,pending,paypal,2025-07-07,DE,0.307
T700069,C1003,702.66,EUR,completed,transfer,2025-07-02,DE,0.039
T700070,C1091,89.2,EUR,completed,card,2025-01-18,IT,0.608
T700071,C1066,304.43,EUR,completed,card,2025-08-14,FR,0.019
T700072,C1029,67.32,EUR,completed,paypal,2025-05-29,ES,1.8
T700073,C1037,502.13,EUR,completed,transfer,2025-08-16,FR,0.308
T700074,C1039,416.66,EUR,completed,card,2025-01-19,FR,0.558
T700075,C1101,717.3,EUR,failed,apple_pay,2025-07-21,FR,0.862
T700076,,69.12,EUR,completed,paypal,2025-06-09,ES,0.53
T700077,C1012,183.62,EUR,pending,apple_pay,2025-06-19,FR,0.349
T700078,C1091,270.63,EUR,completed,apple_pay,2025-06-20,FR,0.224
T700079,C1012,538.09,EUR,completed,paypal,2025-05-20,FR,0.057
T700080,C1068,306.52,EUR,completed,paypal,2025-01-18,IT,0.812
T700081,C1025,742.16,EUR,completed,card,2025-07-05,DE,0.714
T700082,C1061,742.53,EUR,refunded,card,2025-06-05,NL,0.307
T700083,C1093,435.03,EUR,completed,transfer,2025-07-27,FR,0.634
T700084,C1083,751.69,EUR,pending,transfer,2025-05-05,DE,
T700085,C1039,119.6,EUR,completed,apple_pay,2025-07-27,FR,0.512
T700086,C1078,790.41,EUR,completed,paypal,2025-06-04,FR,0.227
T700087,C1088,67.11,EUR,completed,card,2025-04-02,FR,0.318
T700088,C1120,306.65,EUR,completed,apple_pay,2025-02-04,ES,0.287
T700089,C1045,238.11,USD,completed,card,2025-03-26,FR,0.213
T700090,C1006,189.48,EUR,completed,paypal,2025-05-25,ES,0.583
T700091,C1051,209.27,EUR,completed,paypal,2025-01-25,FR,0.729
T700092,C1088,612.57,EUR,completed,transfer,2026-12-01,FR,0.831
T700093,C1055,276.71,EUR,pending,card,2025-09-06,FR,0.611
T700094,C1087,152.46,EUR,pending,card,2025-02-14,FR,0.301
T700095,C1127,839.71,EUR,completed,apple_pay,2025-01-07,FR,0.285
T700096,C1081,52.33,EUR,completed,transfer,2025-03-22,FR,0.141
T700097,C1037,452.41,EUR,pending,transfer,2025-07-05,FR,0.485
T700098,C1040,560.47,EUR,completed,transfer,2025-04-28,DE,
T700099,C1123,650.0,EUR,completed,transfer,2025-08-21,FR,0.325
T700100,C1136,800.09,EUR,ok,card,2025-09-01,FR,0.728
T700101,C1093,132.25,EUR,completed,apple_pay,2025-02-16,IT,0.562
T700102,C1032,55.84,EUR,completed,paypal,2025-05-13,IT,0.329
T700103,C1039,767.91,EUR,pending,paypal,2025-01-15,FR,0.639
T700104,C1114,248000.0,EUR,completed,transfer,2025-07-19,FR,0.291
T700105,C1007,96.09,EUR,completed,card,2025-07-25,FR,0.316
T700106,C1059,481.75,EUR,completed,apple_pay,2025-04-25,FR,0.019
T700107,C1112,209.35,EUR,completed,transfer,2025-08-06,FR,0.269
T700108,C1128,188.03,EUR,completed,paypal,2025-09-02,ES,0.782
T700109,C1069,811.35,EUR,completed,transfer,2025-05-25,FR,0.004
T700110,C1064,141.55,EUR,completed,apple_pay,2025-04-19,FR,0.795
T700111,C1054,724.39,EUR,completed,card,2025-08-13,FR,0.778
T700112,C1077,583.96,EUR,pending,paypal,2025-01-05,FR,0.272
T700113,C1129,626.93,EUR,completed,paypal,2025-08-26,FR,0.081
T700114,C1087,547.63,EUR,completed,apple_pay,2025-06-21,NL,0.03
T700115,C1061,175.16,EUR,completed,card,2025-01-20,FR,0.536
T700116,C1111,595.17,EUR,completed,card,2025-06-12,FR,
T700117,C1125,825.15,EUR,completed,card,2025-04-02,FR,0.486
T700118,C1140,428.12,EUR,completed,transfer,2025-09-12,IT,0.07
T700119,C9999,725.93,EUR,failed,paypal,2025-02-07,FR,0.159
T700120,C1068,232.31,EUR,failed,paypal,2025-09-18,FR,0.711
T700121,C1093,230.79,EUR,completed,card,2025-08-21,FR,0.494
T700122,C1106,835.1,EUR,pending,transfer,2025-07-24,FR,0.486
T700123,C1099,827.13,EUR,completed,apple_pay,2025-07-29,DE,0.808
T700124,C1002,207.03,EUR,completed,transfer,2025-07-13,NL,0.743
T700125,C1030,78.36,EUR,completed,card,2025-01-26,FR,0.503
T700126,C1114,468.86,EUR,completed,card,2025-08-31,DE,0.768
T700127,C1131,294.29,EUR,completed,apple_pay,12-03-2025,ES,0.712
T700128,C1097,305.15,EUR,completed,transfer,2025-06-14,FR,0.718
T700129,C1058,785.74,EUR,completed,transfer,2025-08-31,ES,0.313
T700130,C1123,487.25,EUR,failed,card,2025-07-06,FR,
T700131,C1094,206.65,EUR,completed,apple_pay,2025-04-01,FR,0.745
T700132,C1012,277.06,EUR,completed,apple_pay,2025-03-04,FR,0.632
T700133,C1097,91.87,,completed,transfer,2025-08-20,FR,0.248
T700134,C1075,847.43,EUR,completed,apple_pay,2025-09-02,DE,0.157
T700135,C1133,131.65,EUR,completed,transfer,2025-09-08,FR,0.214
T700136,C1095,447.26,EUR,pending,transfer,2025-01-10,FR,0.001
T700137,C1067,53.79,EUR,completed,transfer,2025-06-15,FR,0.239
T700138,C1113,82.17,EUR,completed,card,2025-04-14,FR,0.863
T700139,C1075,527.09,EUR,completed,card,2025-08-15,FR,0.038
T700140,C1076,824.47,EUR,completed,transfer,2025-06-30,FR,0.765
T700141,C1034,,EUR,completed,transfer,2025-02-02,FR,0.297
T700142,C1019,72.55,EUR,completed,apple_pay,2025-08-01,FR,0.811
T700143,C1007,96.1,EUR,completed,apple_pay,2025-08-12,FR,0.426
T700144,C1017,376.66,EUR,completed,card,2025-04-29,DE,0.362
T700145,C1011,787.28,EUR,completed,transfer,2025-07-18,DE,0.106
T700146,C1057,721.47,EUR,completed,card,2025-02-22,FR,0.763
T700147,C1056,481.93,EUR,completed,paypal,2025-06-21,FR,0.049
T700148,C1107,717.86,EUR,completed,apple_pay,2025-01-26,ES,
T700149,C1086,165.76,EUR,failed,paypal,2025-05-21,FR,0.078
T700150,C1099,220.5,EUR,pending,apple_pay,2025-08-04,FR,0.276
T700151,C1064,737.43,EUR,pending,transfer,2025-06-06,FR,0.047
T700152,C1138,556.15,EUR,refunded,apple_pay,2025-03-14,FR,0.721
T700153,C1052,390.68,EUR,completed,card,2025-06-10,FR,0.061
T700154,C1083,34.84,EUR,completed,apple_pay,2025-05-30,FR,0.188
T700155,C1117,348.07,EUR,completed,paypal,2025-04-15,FR,0.39
T700156,C1032,46.37,EUR,pending,card,2025-09-12,FR,0.83
T700157,C1043,425.99,EUR,completed,transfer,2025-04-19,FR,0.143
T700158,C1053,441.22,EUR,completed,paypal,2025-02-16,IT,0.373
T700159,C1066,601.75,EUR,completed,apple_pay,2025-03-21,ES,0.831
T700160,C1035,40.28,EUR,pending,transfer,2025-04-30,ES,0.717
T700034,C1116,434.82,EUR,completed,paypal,2025-08-08,FR,0.762
T700034,C1116,434.82,EUR,completed,paypal,2025-08-08,FR,0.762
